originalPath,preparedPath,newFileName,layoutType,style,color,material,visibleFeatures,confidence,needs_review,reason,alt
E:\фото кухни 3\IMG_20221130_185335.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-extra-02-012.webp,kuhnya-s-ostrovom-minimalizm-belaya-005-extra-02-012.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|vstroennaya-tehnika|penal,medium,true,"Видна островная/полуостровная зона; нужна проверка, является ли это островом.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221130_185411.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-extra-03-013.webp,kuhnya-s-ostrovom-minimalizm-belaya-005-extra-03-013.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|vstroennaya-tehnika|penal,medium,true,"Видна островная/полуостровная зона; нужна проверка, является ли это островом.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221213_150859.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-side-014.webp,pryamaya-kuhnya-minimalizm-belaya-006-side-014.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,glyancevye-fasady|bez-ruchek|vstroennaya-tehnika,medium,true,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки.",Прямая белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221213_150907.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-main.webp,pryamaya-kuhnya-minimalizm-belaya-006-main.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,glyancevye-fasady|bez-ruchek|vstroennaya-tehnika,medium,true,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки.",Прямая белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221213_150915.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-detail-016.webp,pryamaya-kuhnya-minimalizm-belaya-006-detail-016.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,glyancevye-fasady|bez-ruchek|vstroennaya-tehnika,medium,true,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки.",Прямая белая кухня в стиле минимализм
E:\фото кухни 3\IMG_20221213_150925.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-detail-017.webp,pryamaya-kuhnya-minimalizm-belaya-006-detail-017.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,glyancevye-fasady|bez-ruchek|vstroennaya-tehnika,medium,true,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки.",Прямая белая кухня в стиле минимализм
E:\фото кухни 3\IMG_20221213_150937.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-extra-04-018.webp,pryamaya-kuhnya-minimalizm-belaya-006-extra-04-018.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,glyancevye-fasady|bez-ruchek|vstroennaya-tehnika,medium,true,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки.",Прямая белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230502_181606.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-007-main.webp,uglovaya-kuhnya-sovremennaya-kombinacii-007-main.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,derevyannaya-stoleshnica,low,true,"Кухня частично видна, один кадр.",Угловая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20230606_183429.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-008-main.webp,pryamaya-kuhnya-sovremennaya-kombinacii-008-main.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,podsvetka|derevyannaya-stoleshnica,medium,true,Один кадр небольшой прямой кухни.,Прямая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20230721_220421.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-00-021.webp,kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-00-021.webp,kuhnya-s-ostrovom,sovremennaya,kombinacii,unknown,bez-ruchek|ostrov|otkrytye-polki|vstroennaya-tehnika,high,false,Одна кухня с островной/барной зоной и несколькими ракурсами.,Кухня с островом комбинированная кухня в современном стиле без ручек
E:\фото кухни 3\IMG_20230721_220427.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp,kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp,kuhnya-s-ostrovom,sovremennaya,kombinacii,unknown,bez-ruchek|ostrov|otkrytye-polki|vstroennaya-tehnika,high,false,Одна кухня с островной/барной зоной и несколькими ракурсами.,Кухня с островом комбинированная кухня в современном стиле без ручек
E:\фото кухни 3\IMG_20230721_220455.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-02-023.webp,kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-02-023.webp,kuhnya-s-ostrovom,sovremennaya,kombinacii,unknown,bez-ruchek|ostrov|otkrytye-polki|vstroennaya-tehnika,high,false,Одна кухня с островной/барной зоной и несколькими ракурсами.,Кухня с островом комбинированная кухня в современном стиле без ручек
E:\фото кухни 3\IMG_20230721_220500.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-03-024.webp,kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-03-024.webp,kuhnya-s-ostrovom,sovremennaya,kombinacii,unknown,bez-ruchek|ostrov|otkrytye-polki|vstroennaya-tehnika,high,false,Одна кухня с островной/барной зоной и несколькими ракурсами.,Кухня с островом комбинированная кухня в современном стиле без ручек
E:\фото кухни 3\IMG_20230808_175518.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-main.webp,pryamaya-kuhnya-minimalizm-zelenaya-010-main.webp,pryamaya-kuhnya,minimalizm,zelenaya,unknown,matovye-fasady|bez-ruchek|do-potolka|vstroennaya-tehnika,medium,true,"Кухня в процессе монтажа, требуется подтверждение финального вида.",Прямая зелёная кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20230808_175551.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-side-026.webp,pryamaya-kuhnya-minimalizm-zelenaya-010-side-026.webp,pryamaya-kuhnya,minimalizm,zelenaya,unknown,matovye-fasady|bez-ruchek|do-potolka|vstroennaya-tehnika,medium,true,"Кухня в процессе монтажа, требуется подтверждение финального вида.",Прямая зелёная кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20230818_122540.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-00-027.webp,kuhnya-s-ostrovom-minimalizm-belaya-011-extra-00-027.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|podsvetka|penal|vstroennaya-tehnika,high,false,"Одна кухня с островом, рифлёными фасадами и встроенной техникой.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230818_122545.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-side-028.webp,kuhnya-s-ostrovom-minimalizm-belaya-011-side-028.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|podsvetka|penal|vstroennaya-tehnika,high,false,"Одна кухня с островом, рифлёными фасадами и встроенной техникой.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230818_122551.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp,kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|podsvetka|penal|vstroennaya-tehnika,high,false,"Одна кухня с островом, рифлёными фасадами и встроенной техникой.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230818_122600.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-03-030.webp,kuhnya-s-ostrovom-minimalizm-belaya-011-extra-03-030.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|podsvetka|penal|vstroennaya-tehnika,high,false,"Одна кухня с островом, рифлёными фасадами и встроенной техникой.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230818_122607.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-04-031.webp,kuhnya-s-ostrovom-minimalizm-belaya-011-extra-04-031.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|podsvetka|penal|vstroennaya-tehnika,high,false,"Одна кухня с островом, рифлёными фасадами и встроенной техникой.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230821_163631.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-extra-00-032.webp,uglovaya-kuhnya-skandinavskaya-zelenaya-012-extra-00-032.webp,uglovaya-kuhnya,skandinavskaya,zelenaya,unknown,matovye-fasady|otkrytye-polki|penal|vstroennaya-tehnika,high,false,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов.",Угловая зелёная кухня в скандинавском стиле
E:\фото кухни 3\IMG_20230821_163637.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-side-033.webp,uglovaya-kuhnya-skandinavskaya-zelenaya-012-side-033.webp,uglovaya-kuhnya,skandinavskaya,zelenaya,unknown,matovye-fasady|otkrytye-polki|penal|vstroennaya-tehnika,high,false,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов.",Угловая зелёная кухня в скандинавском стиле
E:\фото кухни 3\IMG_20230821_163642.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-detail-034.webp,uglovaya-kuhnya-skandinavskaya-zelenaya-012-detail-034.webp,uglovaya-kuhnya,skandinavskaya,zelenaya,unknown,matovye-fasady|otkrytye-polki|penal|vstroennaya-tehnika,high,false,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов.",Угловая зелёная кухня в скандинавском стиле
E:\фото кухни 3\IMG_20230901_011421.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-side-035.webp,pryamaya-kuhnya-sovremennaya-kombinacii-013-side-035.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,vstroennaya-tehnika|penal,medium,true,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить.",Прямая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20230901_011435.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-main.webp,pryamaya-kuhnya-sovremennaya-kombinacii-013-main.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,vstroennaya-tehnika|penal,medium,true,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить.",Прямая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20230902_231004.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp,uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp,uglovaya-kuhnya,neoklassika,bezhevaya,unknown,penal|vstroennaya-tehnika|derevyannaya-stoleshnica,high,false,Угловая бежевая кухня с филёнчатыми фасадами.,Угловая бежевая кухня в стиле неоклассика
E:\фото кухни 3\IMG_20230902_231007.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-side-038.webp,uglovaya-kuhnya-neoklassika-bezhevaya-014-side-038.webp,uglovaya-kuhnya,neoklassika,bezhevaya,unknown,penal|vstroennaya-tehnika|derevyannaya-stoleshnica,high,false,Угловая бежевая кухня с филёнчатыми фасадами.,Угловая бежевая кухня в стиле неоклассика
E:\фото кухни 3\IMG_20230907_201447.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-main.webp,uglovaya-kuhnya-sovremennaya-kombinacii-015-main.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,glyancevye-fasady|derevyannaya-stoleshnica|vstroennaya-tehnika,medium,true,"Одна угловая кухня, часть кадров затемнена.",Угловая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20230907_201451.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-side-040.webp,uglovaya-kuhnya-sovremennaya-kombinacii-015-side-040.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,glyancevye-fasady|derevyannaya-stoleshnica|vstroennaya-tehnika,medium,true,"Одна угловая кухня, часть кадров затемнена.",Угловая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20230907_234843.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-extra-02-041.webp,uglovaya-kuhnya-sovremennaya-kombinacii-015-extra-02-041.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,glyancevye-fasady|derevyannaya-stoleshnica|vstroennaya-tehnika,medium,true,"Одна угловая кухня, часть кадров затемнена.",Угловая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20230927_215343.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-00-042.webp,pryamaya-kuhnya-minimalizm-kombinacii-016-extra-00-042.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,bez-ruchek|podsvetka|vstroennaya-tehnika,high,false,Одна прямая современная кухня с подсветкой и контрастными элементами.,Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230927_215354.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-side-043.webp,pryamaya-kuhnya-minimalizm-kombinacii-016-side-043.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,bez-ruchek|podsvetka|vstroennaya-tehnika,high,false,Одна прямая современная кухня с подсветкой и контрастными элементами.,Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230927_215402.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-02-044.webp,pryamaya-kuhnya-minimalizm-kombinacii-016-extra-02-044.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,bez-ruchek|podsvetka|vstroennaya-tehnika,high,false,Одна прямая современная кухня с подсветкой и контрастными элементами.,Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230927_215557.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-03-045.webp,pryamaya-kuhnya-minimalizm-kombinacii-016-extra-03-045.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,bez-ruchek|podsvetka|vstroennaya-tehnika,high,false,Одна прямая современная кухня с подсветкой и контрастными элементами.,Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20230929_194731.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,uglovaya-kuhnya,skandinavskaya,zelenaya,unknown,matovye-fasady|otkrytye-polki|penal|vstroennaya-tehnika,high,false,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов.",Угловая зелёная кухня в скандинавском стиле
E:\фото кухни 3\IMG_20231007_183632.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-main.webp,uglovaya-kuhnya-minimalizm-seraya-017-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek|do-potolka|vstroennaya-tehnika|podsvetka,high,false,Угловая кухня до потолка со встроенной техникой.,Угловая серая кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20231007_183636.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-side-048.webp,uglovaya-kuhnya-minimalizm-seraya-017-side-048.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek|do-potolka|vstroennaya-tehnika|podsvetka,high,false,Угловая кухня до потолка со встроенной техникой.,Угловая серая кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20231016_130646.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,bez-ruchek|podsvetka|vstroennaya-tehnika,high,false,Одна прямая современная кухня с подсветкой и контрастными элементами.,Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20231214_011859.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-02-050.webp,pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-02-050.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,vstroennaya-tehnika|penal,medium,true,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить.",Прямая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20231214_011918.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-03-051.webp,pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-03-051.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,vstroennaya-tehnika|penal,medium,true,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить.",Прямая комбинированная кухня в современном стиле
E:\фото кухни 3\IMG_20231223_231352.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-side-052.webp,uglovaya-kuhnya-minimalizm-seraya-018-side-052.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek|do-potolka|vstroennaya-tehnika,high,false,"Одна угловая кухня до потолка, два ракурса.",Угловая серая кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20231223_231401.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-main.webp,uglovaya-kuhnya-minimalizm-seraya-018-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,glyancevye-fasady|bez-ruchek|do-potolka|vstroennaya-tehnika,high,false,"Одна угловая кухня до потолка, два ракурса.",Угловая серая кухня в стиле минимализм до потолка
E:\фото кухни 3\IMG_20231225_175812.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-main.webp,pryamaya-kuhnya-klassika-derevo-019-main.webp,pryamaya-kuhnya,klassika,derevo,unknown,podsvetka|derevyannaya-stoleshnica,medium,true,"Деревянный классический внешний вид, материал фасадов не подтверждён.",Прямая с деревянными фасадами кухня в классическом стиле
E:\фото кухни 3\IMG_20231225_175818.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-side-055.webp,pryamaya-kuhnya-klassika-derevo-019-side-055.webp,pryamaya-kuhnya,klassika,derevo,unknown,podsvetka|derevyannaya-stoleshnica,medium,true,"Деревянный классический внешний вид, материал фасадов не подтверждён.",Прямая с деревянными фасадами кухня в классическом стиле
E:\фото кухни 3\IMG_20231229_213510.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-020-main.webp,pryamaya-kuhnya-neoklassika-belaya-020-main.webp,pryamaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika,medium,true,Один кадр белой кухни с филёнчатыми фасадами.,Прямая белая кухня в стиле неоклассика
E:\фото кухни 3\IMG_20240412_172822.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-021-main.webp,uglovaya-kuhnya-sovremennaya-belaya-021-main.webp,uglovaya-kuhnya,sovremennaya,belaya,unknown,bez-ruchek|vstroennaya-tehnika,medium,true,"Один широкоугольный кадр, кухня видна хорошо, но нужны финальные подтверждения.",Угловая белая кухня в современном стиле без ручек
E:\фото кухни 3\IMG_20240905_233738.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-main.webp,pryamaya-kuhnya-minimalizm-kombinacii-022-main.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,bez-ruchek|penal|vstroennaya-tehnika,medium,true,"Кухня в процессе монтажа, часть помещения не завершена.",Прямая комбинированная кухня в стиле минимализм без ручек
