projectGroupId,mainImage,images,layoutType,style,color,material,confidence,needs_review,reason
portfolio-kuhnya-s-ostrovom-minimalizm-011,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-00-027.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-side-028.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-03-030.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-04-031.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,high,false,"Одна кухня с островом, рифлёными фасадами и встроенной техникой."
portfolio-uglovaya-kuhnya-skandinavskaya-012,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-extra-00-032.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-side-033.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-detail-034.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,uglovaya-kuhnya,skandinavskaya,zelenaya,unknown,high,false,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов."
portfolio-pryamaya-kuhnya-sovremennaya-013,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-side-035.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-02-050.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-013-extra-03-051.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,medium,true,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить."
portfolio-uglovaya-kuhnya-neoklassika-014,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-side-038.webp,uglovaya-kuhnya,neoklassika,bezhevaya,unknown,high,false,Угловая бежевая кухня с филёнчатыми фасадами.
portfolio-uglovaya-kuhnya-sovremennaya-015,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-side-040.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-015-extra-02-041.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,medium,true,"Одна угловая кухня, часть кадров затемнена."
portfolio-pryamaya-kuhnya-minimalizm-016,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-00-042.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-side-043.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-02-044.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-03-045.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,high,false,Одна прямая современная кухня с подсветкой и контрастными элементами.
portfolio-uglovaya-kuhnya-minimalizm-017,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-side-048.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,high,false,Угловая кухня до потолка со встроенной техникой.
portfolio-uglovaya-kuhnya-minimalizm-018,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-side-052.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,high,false,"Одна угловая кухня до потолка, два ракурса."
portfolio-pryamaya-kuhnya-klassika-019,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-klassika-derevo-019-side-055.webp,pryamaya-kuhnya,klassika,derevo,unknown,medium,true,"Деревянный классический внешний вид, материал фасадов не подтверждён."
portfolio-pryamaya-kuhnya-neoklassika-020,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-020-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-020-main.webp,pryamaya-kuhnya,neoklassika,belaya,unknown,medium,true,Один кадр белой кухни с филёнчатыми фасадами.
portfolio-uglovaya-kuhnya-sovremennaya-021,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-021-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-021-main.webp,uglovaya-kuhnya,sovremennaya,belaya,unknown,medium,true,"Один широкоугольный кадр, кухня видна хорошо, но нужны финальные подтверждения."
portfolio-pryamaya-kuhnya-minimalizm-022,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-022-side-059.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,medium,true,"Кухня в процессе монтажа, часть помещения не завершена."
portfolio-uglovaya-kuhnya-loft-023,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-side-061.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-loft-kombinacii-023-extra-02-062.webp,uglovaya-kuhnya,loft,kombinacii,unknown,medium,true,Угловая кухня с бетонным потолком и тёмно-деревянными элементами; стиль loft требует подтверждения.
portfolio-uglovaya-kuhnya-sovremennaya-024,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-side-064.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,high,false,"Одна угловая кухня с деревянной столешницей, два ракурса."
portfolio-kuhnya-s-ostrovom-minimalizm-025,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-side-065.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,kuhnya-s-ostrovom,minimalizm,seraya,unknown,high,false,"Серая кухня с островом, подсветкой и встроенной техникой."
portfolio-pryamaya-kuhnya-sovremennaya-026,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-seraya-026-side-068.webp,pryamaya-kuhnya,sovremennaya,seraya,unknown,medium,true,"Кадры в процессе ремонта, финальный вид нужно подтвердить."
portfolio-pryamaya-kuhnya-minimalizm-027,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-bezhevaya-027-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-bezhevaya-027-main.webp,pryamaya-kuhnya,minimalizm,bezhevaya,unknown,medium,true,"Один широкоугольный кадр, планировка требует ручной проверки."
portfolio-pryamaya-kuhnya-neoklassika-028,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-neoklassika-belaya-028-side-071.webp,pryamaya-kuhnya,neoklassika,belaya,unknown,medium,true,"Жилой кадр с большим количеством предметов, пригодность для каталога требует отбора."
portfolio-uglovaya-kuhnya-minimalizm-029,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-side-072.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-bezhevaya-029-main.webp,uglovaya-kuhnya,minimalizm,bezhevaya,unknown,high,false,"Угловая бежевая кухня, два похожих ракурса."
portfolio-malenkaya-kuhnya-sovremennaya-030,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\malenkaya-kuhnya-sovremennaya-seraya-030-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\malenkaya-kuhnya-sovremennaya-seraya-030-main.webp,malenkaya-kuhnya,sovremennaya,seraya,unknown,medium,true,"Небольшая кухня с барной/островной зоной, категория требует подтверждения."
portfolio-pryamaya-kuhnya-sovremennaya-031,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-031-side-076.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,medium,true,"Фасады частично в защитной плёнке, финальный вид нужно подтвердить."
portfolio-uglovaya-kuhnya-sovremennaya-032,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-side-077.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-seraya-032-detail-079.webp,uglovaya-kuhnya,sovremennaya,seraya,unknown,medium,true,"Небольшая угловая кухня, фото на этапе ремонта."
portfolio-uglovaya-kuhnya-minimalizm-033,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-033-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-033-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,medium,true,Один кадр небольшой угловой кухни.
portfolio-pryamaya-kuhnya-minimalizm-034,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-side-081.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-side-082.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-seraya-034-main.webp,pryamaya-kuhnya,minimalizm,seraya,unknown,medium,true,"Серия фото среднего разрешения, нужна проверка качества."
portfolio-uglovaya-kuhnya-neoklassika-035,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-side-085.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-extra-02-086.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-extra-03-087.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-neoklassika-belaya-035-detail-088.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,medium,true,"Среднее разрешение и встроенный штамп камеры на части фото, нужна ручная проверка."
portfolio-uglovaya-kuhnya-minimalizm-036,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-036-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-minimalizm-seraya-036-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,medium,true,"Один кадр среднего разрешения, нужно подтвердить пригодность."
